Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MA,0.25,0 days 03:25:25,0.9206,0.9173,0.9206,0.9177,100,0.25,0.1456,0.1073,0.2694,0.2637,0.214
MA,0.5,0 days 06:30:05,0.9311,0.9321,0.9311,0.931,100,0.5,0.1435,0.0992,0.2692,0.2567,0.2313
MA,0.75,0 days 16:00:45,0.9322,0.9303,0.9322,0.9309,100,0.75,0.1459,0.0993,0.268,0.2629,0.2238
MA-F,0.25,0 days 04:21:54,0.9252,0.9237,0.9252,0.9244,100,0.5886,0.1428,0.0999,0.2663,0.265,0.226
MA-F,0.5,0 days 05:58:21,0.9334,0.9324,0.9334,0.9327,100,0.6245,0.145,0.0979,0.2734,0.2618,0.2219
MA-F,0.75,0 days 14:05:39,0.9322,0.931,0.9322,0.9315,100,0.954,0.142,0.0983,0.2687,0.2641,0.2269
RS,0.25,0 days 03:39:53,0.9206,0.9172,0.9206,0.918,100,0.25,0.1523,0.0979,0.2762,0.2617,0.2119
RS,0.5,0 days 06:55:05,0.9287,0.9281,0.9287,0.9277,100,0.5,0.1404,0.0938,0.2723,0.2733,0.2202
RS,0.75,0 days 19:17:11,0.9369,0.936,0.9369,0.9364,100,0.75,0.1423,0.0995,0.2655,0.2651,0.2276
